appid,source_url,discount_text,review_summary,image_url,platforms,tags_raw
3905450,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,win,
2796640,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,"win,mac,linux",
4253010,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,win,
1368140,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,win,
2193600,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,win,
3512480,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,win,
1490930,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,win,
1994000,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,"win,mac,linux",
2424420,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=11,,,,win,
3062170,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=12,,,,win,
2675650,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=12,,,,win,
3816030,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=12,,,,win,
3645160,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=12,,,,win,
3564490,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=12,,,,win,
2400840,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=12,,,,win,
3271280,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=12,,,,"win,mac",
1363940,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=12,,,,win,
